actual,expected,glm_est,ols_est,expected_est,expected_est_better,actual_est,expected_est_bad_prior,expected_est_better_bad_prior,actual_est_bad_prior
1236.0,1228.478012540364,1392.1115290163966,1687.2664829230223,1328.5754833903648,1329.2282525208518,1335.946,1223.5335086426787,1223.8395011612822,1236.926
2799.0,2837.227503231521,3260.817901585011,2937.6418348202233,2963.1744493164206,2963.927871313122,2957.172,2777.866617642301,2778.877527075273,2756.478
1247.0,1238.3769358918476,1771.6165363866971,1543.0731338292155,1264.1284746213244,1265.1774755532717,1274.3559999999998,1245.2478607033688,1245.2478607033636,1196.0
1179.0,1180.6063557243647,1777.5103531882946,2005.4216628604383,1257.2161411917898,1257.8173440286603,1241.8319999999999,1173.0537975894354,1173.7134393693784,1181.3799999999999
3617.0,3661.012337782157,4827.786513874369,4512.063313165062,3718.0776461620208,3719.1487126055817,3729.9500000000003,3879.9246156725517,3880.6017600398172,3839.456
1569.0,1594.2299587853336,4409.962168466405,6712.818123174871,1814.039142672006,1815.0727561560861,1779.122,2309.9986310034724,2310.646296864292,2273.9739999999997
1737.0,1763.764110760523,2953.6004809393467,3815.4248678838167,1784.3337127857963,1785.088058599335,1771.642,1935.210943289698,1936.2102906793089,1915.29
740.0,748.953496841441,2595.197882790494,2955.40337786452,803.8842595949682,806.4244226756666,794.606,1049.745119814946,1051.0696431586325,1040.7640000000001
12358.0,12374.422842997388,14359.293996570168,15355.286442187797,13407.772796275676,13418.437426992332,13313.74,12407.59543426382,12407.837941629263,12428.712
970.0,1006.1924276431556,1492.143778050745,2197.054810109803,1103.9153133437744,1105.2882234842054,1066.7740000000001,969.4802318483956,969.636659823336,1028.314
2156.0,2127.4530402537243,13925.324639686101,28460.64414357467,2017.891037881311,2019.89049732897,2006.4900000000002,6179.260607442489,6283.438274356176,6274.580000000001
2263.0,2322.903605779758,3731.0329215180996,5500.508442498227,2285.1035843211607,2285.949005088733,2292.388,2316.149072989349,2316.9967687776307,2320.554
680.0,601.1867150772092,1820.0924355419265,2426.843678740788,731.8219216162531,731.833031448602,764.35,668.400523722557,668.4304138158974,671.578
1458.0,1474.9604573041063,8105.8002931693045,17837.271259840032,1479.471752691331,1480.8994703781646,1492.272,3016.5113715184966,3018.170965236421,2983.262
12362.0,12253.330556788576,13470.96323205481,14103.977720326706,12791.79894285941,12820.786316213895,12888.664,12334.905979785352,12335.308822514939,12428.234
744.0,745.0789951855464,1921.7887821368315,1944.8716936410883,801.5575851361733,802.8900211715894,828.886,804.5864305653427,804.8716783975501,830.804
234.0,232.24171310577574,208.39858570043975,250.13369818675667,282.5844018207587,283.641963572293,278.49199999999996,233.9406948428498,235.5958946846678,222.47600000000003
2040.0,2161.8789201401837,3729.3132266170087,3608.1395755955714,2210.415782670065,2210.4557771907184,2190.0020000000004,2335.477797264549,2336.1841637782572,2329.944
2534.0,2551.3754427460885,2472.883113391379,2685.127828610472,2799.619105394331,2799.9800365128713,2790.136,NaN,NaN,NaN
2170.0,2153.1882847010884,2602.4227218893348,2575.578707047164,2329.3295456017177,2336.5509580524144,2365.98,2021.7233342360728,2023.6462354224993,2011.8680000000002
8961.0,8900.583629229153,28547.060823254164,37909.02697552807,8689.74174135964,8690.716212842732,8931.806,20220.17566704472,20228.03192208474,20033.526
26395.0,26532.793891778354,27837.779782597114,32412.904677645012,27211.06134464417,27218.771918840586,27205.152,26586.427294183275,26588.923397363717,26584.192
932.0,892.6910928814486,891.9540770249821,899.4986564997238,979.9645586431407,980.7345307181897,976.8380000000001,926.7524495217496,927.4741455548024,934.544
9228.0,9287.089280683684,10338.638781903897,10510.914866158644,9728.8176483523,9735.690025826372,9832.859999999999,9454.350801299455,9454.415047104583,9474.06
3317.0,3280.460108213874,3238.1111731686533,4315.5142481267285,3590.122189648812,3594.549781535881,3600.4219999999996,3161.9386142814437,3164.05204083677,3168.168
1126.0,1162.9353925188525,1038.7095023331033,1252.4669145952175,1234.694252108293,1234.7310016735232,1225.1580000000001,NaN,NaN,NaN
1636.0,1679.4429548788987,2870.3852986988304,3669.0753812005128,1696.7678935278097,1696.931688434423,1708.772,1654.8955814721062,1655.2895640080376,1664.4339999999997
974.0,965.4917632924868,1227.7094304065336,1359.9545749794058,1008.3394283323388,1008.4600096587977,1037.252,833.0017223369243,835.6892663441533,834.862
729.0,763.5947634665092,3808.2353748063697,2329.8830639177113,764.6319989600345,771.1082052494417,783.892,924.9088827717139,930.264235069496,930.544
1015.0,1006.516321920402,2006.5275798155635,2545.155102395068,1080.8656017299672,1081.5555925107578,1073.6580000000001,1136.0317377247447,1136.3682845377714,1091.9240000000002
1900.0,1895.4145580571592,2184.195270195967,2211.2064417148854,1999.3545140354772,1999.7346608097757,1964.0320000000002,1859.7584680544005,1859.8236778226428,1944.1619999999998
555.0,551.193405489038,2990.0495791923427,5913.365044127373,706.2040842688901,706.231480851103,673.4060000000001,988.777901791709,992.7110966518087,1004.672
14480.0,14552.63880527691,22066.46537433086,25397.136601989136,15465.604757413661,15513.488920833488,15380.841999999999,17705.335364052364,17707.889044204276,17690.092
18325.0,18413.72817469834,21421.59017247653,24238.763192967162,18966.46566973746,18966.7034705194,18728.08,18251.19715183491,18251.526733107166,18402.064000000002
10682.0,10673.666638976609,13262.630720560977,14238.40540229045,11326.786883932506,11351.990033587235,11479.962,11157.592227352012,11158.964877194549,11092.143999999998
1636.0,1585.7914860044823,2286.0133641207144,2224.6682956038844,1664.174663356663,1664.5442324047729,1668.514,1743.0815291186636,1743.8461163330537,1691.796
