actual,expected,glm_est,ols_est,expected_est,expected_est_better,actual_est,expected_est_bad_prior,expected_est_better_bad_prior,actual_est_bad_prior
3163.0,3294.195188091009,2350.4998977891555,2340.297658726014,3238.3892023314665,3241.705796917793,3242.454,1718.0315499680257,1725.5616596681007,1724.856
44116.0,43937.67543837563,61137.705300345166,61153.9454733671,46972.860056672755,46998.35695095252,46989.45599999999,60797.810274284784,61151.96547921192,61151.371999999996
718170.0,717012.1240489451,724727.5749311637,724910.0531433274,814143.7442428365,3.2163405431943834e6,3.217354372e6,720207.7680331157,720233.8887652298,720573.5680000001
662692.0,660813.7232997261,674989.8418429171,674505.9511345887,704251.3672771315,880316.768513537,881503.5199999999,664464.3826953328,664493.0751785011,664319.672
20113.0,20314.220022959285,117317.70097496086,114591.19838334725,20781.564037757682,20786.17068545958,20902.201999999997,119863.69480402408,122580.85693933953,122599.954
241394.0,241937.6692277849,253540.0002971271,253743.44177489518,250703.6699624898,250785.54234058474,250280.954,242556.40736033538,242613.65583825173,242574.044
1335.0,1388.1631583040435,1095.8964490728636,1108.6969630420986,1337.9202265366443,1340.3183968659243,1351.164,563.1295516322351,571.7540170348412,570.88
188299.0,188622.36732216692,183784.58668616915,183947.07059699539,195028.3346696085,195052.49384815327,195102.608,189367.29467039256,189381.65551039198,189614.096
11226.0,11029.103531156501,48383.057834342624,48070.02743267614,13999.860556665195,14011.001680952097,13997.42,47873.67382695184,49027.82109433596,49022.261999999995
365222.0,365266.0126596786,367569.0010854486,367500.6113450542,372368.9661456421,372462.40400389506,372837.6340000001,365447.8794283904,365460.7818646458,365312.15
11105.0,11120.199890783053,23804.931127955562,23799.61507891656,15665.010189555527,15665.481359005962,15770.096,23702.64118550209,24306.66021388625,24307.248000000003
1.0719013e7,1.0716883390090032e7,1.078717473084918e7,1.0788955450731963e7,359151.1920083224,1.6779183235032424e7,1.6778855436e7,1.0710524969598778e7,1.0710532202924423e7,1.0711684506e7
1.891359e6,1.8930756972568184e6,1.8634401689465018e6,1.8619775704859549e6,434775.66788983275,2.747875589734321e7,2.7478367856000002e7,1.8877284435028697e6,1.8877578411298618e6,1.887938352e6
1.4471223e7,1.4470215935217312e7,1.448058563323291e7,1.4481446943231478e7,389370.7024139366,8.069458743457074e7,8.069474479800001e7,1.4465685084236637e7,1.446576745624511e7,1.446638326e7
759610.0,759249.2004629612,740153.560663274,739993.8690885381,924024.3195974072,962665.2826391269,963304.9140000001,760847.9059850114,760864.479818291,761363.738
886946.0,886590.7154468038,885322.7530054721,882230.3729007863,391170.9357325449,2.1353544561878894e7,2.1353440158e7,885862.0235846053,885863.7205788912,886092.288
11306.0,11359.974302506418,23338.78246653264,23182.071447397688,13668.581336875795,13691.798976821896,13662.38,23217.175567572995,23638.46628580085,23646.821999999996
3.577862e6,3.5783692881098487e6,3.5889439744630274e6,3.5866860220092605e6,404394.7612689809,2.3642214830376387e7,2.3641930912e7,3.5882227879656246e6,3.5882478662887593e6,3.5892019899999998e6
176764.0,176068.3881533914,175101.97005191416,175519.00335883428,192795.34642315254,1.8774523344264647e6,1.877065428e6,176949.7724180772,176959.67068759532,177002.70799999998
2.012481e6,2.013841772042928e6,2.0198648138486128e6,2.0177359802641727e6,424527.39503254986,6.710794552408591e7,6.710853486399999e7,2.0173276031631657e6,2.0173985702352053e6,2.017895954e6
25636.0,25763.483390758796,59271.338305432626,59709.27296777243,28064.427328272566,28074.902853452208,28121.596,59232.98355932282,59784.356806186945,59797.34
1.821788e6,1.8234763597576628e6,1.8328597997861907e6,1.8323822354367836e6,344844.1668085119,2.3028182174142074e7,2.3028538354000002e7,1.81834815285475e6,1.8183622745780372e6,1.81863968e6
146930.0,147209.1658993316,157340.3744197203,157333.93683824825,151743.73400257019,151750.45580461776,151792.128,147312.62999811152,147326.17013559447,147226.60199999996
47016.0,46641.15220272921,37225.46175868014,37121.06689148412,52055.197806034856,52126.63907907936,52368.534,47474.900039536675,47543.06185551894,47612.700000000004
1.0258141e8,1.0258334907849553e8,1.026122443190176e8,1.0253268277927408e8,322440.40343457344,9.528520590555131e6,9.528684924e6,1.0259306806433685e8,1.025932566026262e8,1.02589531372e8
1.0423519e7,1.0421184295942156e7,1.03888906683557e7,1.0386669905300982e7,355729.6923410167,1.0442847478212059e7,1.0442940933999998e7,1.043231051123554e7,1.0432339035517504e7,1.0436001924e7
1.069749e6,1.0705821627174697e6,1.065861921879976e6,1.0666578035118394e6,283543.0299438287,1.0539228251442969e7,1.0539375054e7,1.0748594607425015e6,1.0748899941134576e6,1.075699124e6
1.018652e7,1.0184475168050997e7,1.0211645274217075e7,1.0207006756387955e7,369638.30954976263,9.681513361508101e6,9.681442124e6,1.0170643504971826e7,1.0170671387480026e7,1.0173976902e7
244120.0,243847.9308133825,251345.95309879453,251556.1423749185,254712.9410864798,254754.76909255044,254344.334,244499.12239367352,244507.19543568074,244565.62199999997
3.579475e6,3.5780726544742193e6,3.613241243878474e6,3.6133990267659845e6,308212.4954065252,1.978004989757745e7,1.9780480270000003e7,3.588348380037655e6,3.5884106008969583e6,3.5881355500000003e6
2.0264121e7,2.026245732707741e7,2.026558092147099e7,2.0270076669495463e7,414719.25160434534,1.3056320901110396e7,1.3056231166e7,2.0275281272174403e7,2.027535682390627e7,2.0274891528e7
17109.0,17049.777230935713,27237.69819004925,27213.21173735687,22567.479045928543,22577.821867275146,22321.102,24837.906472047107,25528.800078372216,25529.328
